time,open,high,low,close,Volume,MA,MA,MA,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ROC,OSC,P/S ratio,P/S ratio,Plot
1871-01-30,4.5,4.5,4.5,4.5,0,,,,,,,,,,,,,,
1871-02-27,4.61,4.61,4.61,4.61,0,,,,,,,,,,2.4444444444444517,,,,
1871-05-01,4.86,4.86,4.86,4.86,0,,,,,,,,,,5.422993492407809,,,,
1871-05-29,4.82,4.82,4.82,4.82,0,,,,,,,,,,-0.8230452674897126,,,,
1871-07-31,4.79,4.79,4.79,4.79,0,,,,,,,,,,-0.6224066390041545,,,,
1871-08-28,4.84,4.84,4.84,4.84,0,,,,,,,,,,1.0438413361169065,,,,
1871-10-30,4.64,4.64,4.64,4.64,0,,,,,,,,,,-4.132231404958682,,,,
1871-11-27,4.74,4.74,4.74,4.74,0,,,,,,,,,,2.155172413793115,,,,
1872-01-01,4.86,4.86,4.86,4.86,0,,,,,,,,,,2.531645569620255,,,,
1872-01-29,4.88,4.88,4.88,4.88,0,,,,,,,,,,0.41152263374484715,,,,
1872-02-26,5.04,5.04,5.04,5.04,0,,,,,,,,,,3.278688524590167,,,,
1872-04-01,5.18,5.18,5.18,5.18,0,,,,,,,,,,2.7777777777777715,,,,
1872-04-29,5.18,5.18,5.18,5.18,0,,,,,,,,,,0,,,,
1872-07-01,5.1,5.1,5.1,5.1,0,,,,,,,,,,-1.5444015444015458,,,,
1872-07-29,5.04,5.04,5.04,5.04,0,,,,69.85294117647058,,,,,,-1.1764705882352866,,,,
1872-09-30,4.97,4.97,4.97,4.97,0,,,,66.18435155412647,,,,,,-1.3888888888888946,,,,
1872-10-28,4.95,4.95,4.95,4.95,0,,,,65.131845841785,,,,,,-0.4024144869215206,,,,
1872-12-30,5.11,5.11,5.11,5.11,0,,,,69.33339554389413,,,,,,3.232323232323235,,,,
1873-03-31,5.04,5.04,5.04,5.04,0,,,,65.60858685042135,,,,,,-1.3698630136986356,,,,
1873-04-28,5.05,5.05,5.05,5.05,0,,,,65.89050525696686,,,,,,0.19841269841269418,,,,
1873-06-30,4.97,4.97,4.97,4.97,0,,,,61.54405990943977,,,,,,-1.5841584158415856,,,,
1873-07-28,4.97,4.97,4.97,4.97,0,,,,61.54405990943977,,,,,,0,,,,
1873-09-01,4.59,4.59,4.59,4.59,0,,,,45.140427475722355,,,,,,-7.645875251509052,,,,
1873-09-29,4.19,4.19,4.19,4.19,0,,,,34.666214782932684,,,,,,-8.714596949891055,,,,
1873-12-01,4.42,4.42,4.42,4.42,0,,,,42.874265747796876,,,,,,5.489260143198079,,,,
1873-12-29,4.66,4.66,4.66,4.66,0,,,,49.94148086417018,,,,,,5.42986425339367,,,,
1874-03-30,4.6,4.6,4.6,4.6,0,,,,48.33167661768962,,,,,,-1.2875536480686802,,,,
1874-04-27,4.48,4.48,4.48,4.48,0,,,,45.19400721669619,56.51698705339656,,,,,-2.608695652173896,,,,
1874-06-01,4.46,4.46,4.46,4.46,0,,,,44.67346211367914,54.718452834625744,,,,,-0.4464285714285817,,,,
1874-06-29,4.46,4.46,4.46,4.46,0,,,,44.67346211367914,53.181960731736645,,,,,0,,,,
1874-08-31,4.54,4.54,4.54,4.54,0,,,,47.479758807164394,51.92109737212089,,,,,1.793721973094172,,,,
1874-09-28,4.53,4.53,4.53,4.53,0,,,,47.15776464571274,50.337123736536505,,,,,-0.22026431718061204,,,,
1874-11-30,4.54,4.54,4.54,4.54,0,,,,47.540893679164306,49.04657422430386,,,,,0.22075055187637496,,,,
1874-12-28,4.54,4.54,4.54,4.54,0,,,,47.540893679164306,47.73588768303225,,,,,0,,,,
1875-02-01,4.53,4.53,4.53,4.53,0,,,,47.14446599942007,46.70734526088798,,,,,-0.22026431718061204,,,,
1875-03-01,4.59,4.59,4.59,4.59,0,,,,49.846753862449134,45.87182340038866,,,,,1.3245033112582694,,,,
1875-03-29,4.65,4.65,4.65,4.65,0,,,,52.46402225417372,46.39493731313518,,,,,1.307189542483671,,,,
1875-05-31,4.38,4.38,4.38,4.38,0,,,,41.874117051809186,46.90978747519779,,,,,-5.806451612903235,,,,
1875-06-28,4.39,4.39,4.39,4.39,0,,,,42.33835266500796,46.87150796928429,,,,,0.22831050228310015,,,,
1875-08-30,4.37,4.37,4.37,4.37,0,,,,41.62235724837897,46.27728485387063,,,,,-0.455580865603635,,,,
1875-09-27,4.3,4.3,4.3,4.3,0,,,,39.12822670994887,45.61989557474629,,,,,-1.601830663615567,,,,
1875-11-01,4.37,4.37,4.37,4.37,0,,,,42.8182941062762,45.45020178114486,,,,,1.6279069767441927,,,,
1875-11-29,4.37,4.37,4.37,4.37,0,,,,42.81829410627619,45.31768978061608,,,,,0,,,,
1876-01-31,4.52,4.52,4.52,4.52,0,,,,50.30504273816471,45.71994553950791,,,,,3.432494279176189,,,,
1876-02-28,4.51,4.51,4.51,4.51,0,,,,49.836577063657465,45.88828970068598,,,,,-0.22123893805309264,,,,
1876-05-01,4.18,4.18,4.18,4.18,0,,,,37.44431121188341,45.1944715982696,,,,,-7.317073170731709,,,,
1876-05-29,4.15,4.15,4.15,4.15,0,,,,36.55442501367169,44.40972383644869,,,,,-0.7177033492822814,,,,
1876-07-31,3.93,3.93,3.93,3.93,0,,,,30.777820929868426,43.21236149721328,,,,,-5.301204819277113,,,,
1876-08-28,3.69,3.69,3.69,3.69,0,,,,25.958503410742935,41.699078455164916,,,,,-6.106870229007638,,,,
1876-10-30,3.6,3.6,3.6,3.6,0,,4.6136,,24.41462303720222,39.882497681932996,,,,,-2.439024390243899,,,,
1876-11-27,3.58,3.58,3.58,3.58,0,,4.5952,,24.071998615715188,37.85449599347167,,,,,-0.555555555555556,,,,
1877-01-01,3.55,3.55,3.55,3.55,0,,4.574,,23.53839221587714,36.54480136233367,,,,,-0.8379888268156493,,,,
1877-01-29,3.34,3.34,3.34,3.34,0,,4.5436000000000005,,20.16817292792993,34.961217095399526,,,,,-5.915492957746478,,,,
1877-02-26,3.17,3.17,3.17,3.17,0,,4.5106,,17.930080975861557,33.268911647362565,,,,,-5.089820359281435,,,,
1877-04-30,2.94,2.94,2.94,2.94,0,,4.4736,,15.43452044913208,31.57650405730422,,,,,-7.255520504731861,,,,
1877-05-28,2.73,2.73,2.73,2.73,0,,4.4314,,13.57650250916312,29.48780465751043,,,,,-7.1428571428571415,,,,
1877-07-30,3.05,3.05,3.05,3.05,0,,4.3995999999999995,,27.83294351598164,28.417422472489392,,,,,11.721611721611717,,,,
1877-10-01,3.31,3.31,3.31,3.31,0,,4.371,,36.935663208077685,27.462466791768893,,,,,8.524590163934434,,,,
1877-10-29,3.26,3.26,3.26,3.26,0,,4.3389999999999995,,35.99537662499219,26.473809617578517,,,,,-1.5105740181268963,,,,
1877-12-31,3.25,3.25,3.25,3.25,0,,4.3064,,35.79908537177647,26.356293486142306,,,,,-0.30674846625766217,,,,
1878-01-28,3.18,3.18,3.18,3.18,0,,4.2692000000000005,,34.38553047984577,26.20137244801188,,,,,-2.153846153846149,,,,
1878-02-25,3.24,3.24,3.24,3.24,0,,4.2303999999999995,,36.69297129897686,26.623883188662486,,,,,1.8867924528301903,,,,
